gesture,[0],[7],[8],[11],[13],[15],[23],[23]
0.0,"0.47738081216812134,0.3266717791557312,-0.37591397762298584","0.5398126840591431,0.33981260657310486,-0.1090877428650856","0.43894797563552856,0.33298367261886597,-0.06994565576314926","0.6476954221725464,0.6718083620071411,-0.1231849193572998","0.6787748336791992,0.9630645513534546,-0.6372957229614258","0.5209927558898926,0.46969953179359436,-1.0763436555862427","0.6117414236068726,1.4657177925109863,0.011798540130257607","0.6117414236068726,1.4657177925109863,0.011798540130257607"
0.0,"0.4720316529273987,0.3239900469779968,-0.45744258165359497","0.5392507910728455,0.3401094973087311,-0.20257964730262756","0.43671709299087524,0.3313595652580261,-0.12898826599121094","0.652335524559021,0.670950174331665,-0.19588828086853027","0.6542745232582092,0.9626396894454956,-0.7187426090240479","0.5118862390518188,0.47104716300964355,-1.1404998302459717","0.6069291234016418,1.466603398323059,0.005401673726737499","0.6069291234016418,1.466603398323059,0.005401673726737499"
0.0,"0.4727252125740051,0.32536420226097107,-0.48055070638656616","0.5402554273605347,0.3406003415584564,-0.2352970540523529","0.4368046820163727,0.33267831802368164,-0.1810484230518341","0.6586160063743591,0.671249270439148,-0.22186486423015594","0.6184840202331543,0.9783492088317871,-0.7229414582252502","0.5061764121055603,0.47723278403282166,-1.1317275762557983","0.6035445928573608,1.4687089920043945,0.0029840748757123947","0.6035445928573608,1.4687089920043945,0.0029840748757123947"
0.0,"0.4792304039001465,0.34654709696769714,-0.47154730558395386","0.5411658883094788,0.34554845094680786,-0.2419801950454712","0.43726426362991333,0.33926498889923096,-0.2032713145017624","0.6638613939285278,0.6745483875274658,-0.22728696465492249","0.6005940437316895,0.9678531289100647,-0.6889103651046753","0.4993146061897278,0.47526097297668457,-1.0123215913772583","0.6035022139549255,1.4769400358200073,0.004127294756472111","0.6035022139549255,1.4769400358200073,0.004127294756472111"
0.0,"0.49574533104896545,0.36275142431259155,-0.45353779196739197","0.5480047464370728,0.3500758111476898,-0.2258879691362381","0.440513551235199,0.3458006680011749,-0.18100325763225555","0.6640174984931946,0.6796736121177673,-0.18437740206718445","0.6444929838180542,1.0109632015228271,-0.4662187695503235","0.5011156797409058,0.4818154573440552,-0.6639760732650757","0.6036632061004639,1.4768098592758179,0.012837700545787811","0.6036632061004639,1.4768098592758179,0.012837700545787811"
0.0,"0.4961918294429779,0.36605966091156006,-0.44737276434898376","0.5486215353012085,0.35036224126815796,-0.20634767413139343","0.44100603461265564,0.34723061323165894,-0.1713506281375885","0.6641251444816589,0.6800809502601624,-0.18128134310245514","0.6420082449913025,1.029414415359497,-0.5128687620162964","0.5032877922058105,0.4810448884963989,-0.7898820638656616","0.6032637357711792,1.4767078161239624,0.012662013992667198","0.6032637357711792,1.4767078161239624,0.012662013992667198"
0.0,"0.5023126602172852,0.36500245332717896,-0.34711959958076477","0.5501194000244141,0.3506172001361847,-0.18001173436641693","0.44462186098098755,0.3489329218864441,-0.16660256683826447","0.6662739515304565,0.6809530258178711,-0.16705723106861115","0.6504913568496704,1.0292911529541016,-0.4658631682395935","0.5034845471382141,0.4741230309009552,-0.6874343156814575","0.6032463312149048,1.4801563024520874,0.015339682810008526","0.6032463312149048,1.4801563024520874,0.015339682810008526"
0.0,"0.5041421055793762,0.3764757812023163,-0.3170183002948761","0.5501548051834106,0.3531649112701416,-0.15262651443481445","0.44563087821006775,0.35567963123321533,-0.1517501026391983","0.6659377813339233,0.6809524297714233,-0.1473865807056427","0.6564335823059082,1.0313717126846313,-0.46823564171791077","0.5032330751419067,0.4686369299888611,-0.704667866230011","0.6033304333686829,1.4816391468048096,0.015723489224910736","0.6033304333686829,1.4816391468048096,0.015723489224910736"
0.0,"0.5037376284599304,0.37936392426490784,-0.40390872955322266","0.5486095547676086,0.3547173738479614,-0.21249723434448242","0.44560185074806213,0.3560850918292999,-0.19125604629516602","0.6656151413917542,0.6801981329917908,-0.20079824328422546","0.6343148946762085,1.0244287252426147,-0.5555959939956665","0.5016375780105591,0.4620922803878784,-0.8009252548217773","0.6033681035041809,1.4831013679504395,0.009614098817110062","0.6033681035041809,1.4831013679504395,0.009614098817110062"
0.0,"0.498725563287735,0.35090044140815735,-0.498690664768219","0.5473836064338684,0.34699302911758423,-0.23829464614391327","0.4427355229854584,0.345480352640152,-0.2037573754787445","0.6654804944992065,0.6785173416137695,-0.21467654407024384","0.6095529794692993,1.0122312307357788,-0.659408450126648","0.5023154020309448,0.4951988160610199,-1.0580636262893677","0.6032432317733765,1.4844095706939697,0.0024742712266743183","0.6032432317733765,1.4844095706939697,0.0024742712266743183"
0.0,"0.4951260983943939,0.3551318049430847,-0.4672114849090576","0.5469245910644531,0.34791797399520874,-0.22178606688976288","0.4383564889431,0.3484210669994354,-0.1935228407382965","0.6653791069984436,0.6771477460861206,-0.20895929634571075","0.6099526286125183,1.0051008462905884,-0.6997946500778198","0.5132458209991455,0.4773496389389038,-1.110329508781433","0.5977078676223755,1.4876443147659302,0.0020960005931556225","0.5977078676223755,1.4876443147659302,0.0020960005931556225"
